Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,6,252,188,92,10,41,0,23,96,18,60
C:\Users\Emilia Vanderwerf\source\repos\exceptional-engineer,6,252,188,92,10,41,0,23,96,18,60
C:\Users\Emilia Vanderwerf\source\repos\exceptional-engineer\assignment1,6,252,188,92,10,41,0,23,96,18,60
C:\Users\Emilia Vanderwerf\source\repos\exceptional-engineer\assignment1\Tests,3,116,89,38,0,17,0,10,36,9,30
C:\Users\Emilia Vanderwerf\source\repos\exceptional-engineer\assignment1\Tests\obj,2,29,14,4,0,5,0,10,36,9,30
C:\Users\Emilia Vanderwerf\source\repos\exceptional-engineer\assignment1\Tests\obj\Debug,2,29,14,4,0,5,0,10,36,9,30
C:\Users\Emilia Vanderwerf\source\repos\exceptional-engineer\assignment1\Tests\obj\Debug\netcoreapp2.2,2,29,14,4,0,5,0,10,36,9,30
C:\Users\Emilia Vanderwerf\source\repos\exceptional-engineer\assignment1\assignment1,3,136,99,54,10,24,0,13,60,9,30
C:\Users\Emilia Vanderwerf\source\repos\exceptional-engineer\assignment1\assignment1\obj,1,24,9,2,0,5,0,10,36,9,30
C:\Users\Emilia Vanderwerf\source\repos\exceptional-engineer\assignment1\assignment1\obj\Debug,1,24,9,2,0,5,0,10,36,9,30
C:\Users\Emilia Vanderwerf\source\repos\exceptional-engineer\assignment1\assignment1\obj\Debug\netcoreapp2.2,1,24,9,2,0,5,0,10,36,9,30
